first_effectiveness,first_hp,first_attack,first_defense,first_sp_atk,first_sp_def,first_speed,first_mythical,first_legendary,second_effectiveness,second_hp,second_attack,second_defense,second_sp_atk,second_sp_def,second_speed,second_mythical,second_legendary,winner
0.5,50,64,50,45,50,41,0,0,4.0,70,70,40,60,40,60,0,0,1
4.0,91,90,72,90,129,108,0,1,0.5,91,129,90,72,90,108,0,1,1
1.0,55,40,85,80,105,40,0,0,1.0,75,75,75,125,95,40,0,0,1
0.5,40,40,40,70,40,20,0,0,1.0,77,120,90,60,90,48,0,0,1
4.0,70,60,125,115,70,55,0,0,1.0,20,10,230,10,230,5,0,0,0
0.5,40,50,45,70,45,70,0,0,1.0,65,50,35,115,95,95,0,0,1
1.0,70,80,50,35,35,35,0,0,1.0,150,100,120,100,120,90,0,1,1
1.0,50,65,90,35,35,15,0,0,1.0,50,53,62,58,63,44,0,0,1
0.5,40,30,30,55,30,85,0,0,4.0,35,55,40,50,50,90,0,0,1
1.0,40,55,30,30,30,60,0,0,1.0,30,45,55,70,55,85,0,0,1
1.0,91,129,90,72,90,108,0,1,1.0,38,30,85,55,65,30,0,0,0
1.0,50,20,55,25,25,30,0,0,0.5,100,110,90,85,90,60,0,0,1
0.5,70,60,125,115,70,55,0,0,1.0,95,75,110,100,80,30,0,0,0
1.0,50,53,62,58,63,44,0,0,1.0,77,85,51,55,51,65,0,0,1
1.0,130,85,80,85,95,60,0,0,2.0,90,85,75,115,100,115,0,1,1
1.0,45,40,60,40,75,50,0,0,2.0,100,100,80,60,60,50,0,0,1
1.0,95,100,85,108,70,70,0,0,1.0,116,55,85,107,95,29,0,0,0
1.0,64,66,68,81,76,50,0,0,0.5,65,125,100,60,70,70,0,0,1
1.0,110,78,73,76,71,60,0,0,0.5,84,86,88,111,101,60,0,0,1
4.0,55,40,50,65,85,40,0,0,1.0,60,55,90,145,90,80,0,0,1
0.5,45,35,50,70,50,30,0,0,1.0,55,75,60,75,60,103,0,0,1
0.5,106,90,130,90,154,110,0,1,2.0,100,150,120,120,100,90,0,1,0
1.0,54,78,103,53,45,22,0,0,1.0,58,89,77,45,45,48,0,0,1
1.0,75,100,95,40,70,110,0,0,1.0,80,120,79,95,79,70,0,0,0
2.0,58,109,112,48,48,109,0,0,0.5,74,48,76,83,81,104,0,0,0
1.0,97,165,60,65,50,58,0,0,2.0,100,100,100,100,100,100,1,0,1
0.5,55,35,50,55,110,85,0,0,2.0,60,85,60,50,50,125,0,0,1
0.25,75,75,55,105,85,30,0,0,4.0,85,90,80,70,80,130,0,0,1
1.0,45,75,37,70,55,83,0,0,1.0,75,125,100,70,80,45,0,0,1
2.0,50,75,70,35,70,48,0,0,1.0,38,30,41,30,41,60,0,0,1
1.0,43,30,55,40,65,97,0,0,0.5,65,50,35,115,95,95,0,0,0
1.0,45,55,39,35,39,42,0,0,1.0,35,65,35,65,35,65,0,0,1
1.0,50,55,50,36,30,43,0,0,1.0,35,65,35,65,35,65,0,0,1
0.5,100,50,80,60,80,50,0,0,2.0,56,61,65,48,45,38,0,0,0
